label,experiment,model,n,d,alpha,dependence,population_gap,k_gamma,k,active_set_mode,rejection_practical,rejection_oracle,wilson95_low_practical,wilson95_high_practical,wilson95_low_oracle,wilson95_high_oracle,active_recovery,all_pairs_defined_practical
weakS_n1000_l0.02,weak_stable,stable,1000,2,1.5,0.02,0.0,0.4,15,known,0.809,0.807,0.7911863917774892,0.8256288730026965,0.7891219204292752,0.8237010125400355,1.0,1.0
weakS_n1000_l0.05,weak_stable,stable,1000,2,1.5,0.05,0.0,0.4,15,known,0.666,0.6525,0.6450289994977745,0.6863345408048496,0.6313566561207027,0.6730586444585152,1.0,1.0
weakS_n1000_l0.1,weak_stable,stable,1000,2,1.5,0.1,0.0,0.4,15,known,0.401,0.3975,0.3797303175272388,0.42264925783444923,0.3762684910573223,0.4191245036353345,1.0,1.0
weakS_n2500_l0.02,weak_stable,stable,2500,2,1.5,0.02,0.0,0.4,22,known,0.9325,0.9285,0.9206548165175205,0.9426869375841956,0.9163673453226996,0.9389897451572665,1.0,1.0
weakS_n2500_l0.05,weak_stable,stable,2500,2,1.5,0.05,0.0,0.4,22,known,0.7475,0.7495,0.7279977665094945,0.7660532950862853,0.7300439749792367,0.7679994184274181,1.0,1.0
weakS_n2500_l0.1,weak_stable,stable,2500,2,1.5,0.1,0.0,0.4,22,known,0.393,0.3965,0.37181924970545144,0.4145909984127366,0.3752796072642146,0.4181172215230047,1.0,1.0
weakS_n5000_l0.02,weak_stable,stable,5000,2,1.5,0.02,0.0,0.4,30,known,0.966,0.967,0.9571215720934327,0.9730917398404393,0.9582322305395993,0.9739772472997102,1.0,1.0
weakS_n5000_l0.05,weak_stable,stable,5000,2,1.5,0.05,0.0,0.4,30,known,0.7635,0.762,0.7443827092504036,0.7816070068323759,0.7428451118592415,0.780150355365382,1.0,1.0
weakS_n5000_l0.1,weak_stable,stable,5000,2,1.5,0.1,0.0,0.4,30,known,0.33,0.331,0.30973547882362323,0.35091631725200273,0.31071781694683853,0.35193014503422493,1.0,1.0
nearG_n1000_r0.9,near_boundary,gaussian,1000,2,1.5,0.9,0.05263157894736841,0.4,15,known,0.0835,0.081,0.07215988199915073,0.09643701838613296,0.06983042853923943,0.09377605708245051,1.0,1.0
nearG_n1000_r0.95,near_boundary,gaussian,1000,2,1.5,0.95,0.025641025641025664,0.4,15,known,0.028,0.0255,0.021625209947844046,0.03618448268565872,0.019447915824308683,0.033371362045600345,1.0,1.0
nearG_n1000_r0.98,near_boundary,gaussian,1000,2,1.5,0.98,0.01010101010101011,0.4,15,known,0.001,0.0005,0.0002742789176520342,0.003638934269038394,8.826773070546787e-05,0.0028268625032662133,1.0,0.9975
nearG_n2500_r0.9,near_boundary,gaussian,2500,2,1.5,0.9,0.05263157894736841,0.4,22,known,0.0805,0.075,0.06936493417594901,0.09324346849302219,0.0642536480572273,0.08737584213183769,1.0,1.0
nearG_n2500_r0.95,near_boundary,gaussian,2500,2,1.5,0.95,0.025641025641025664,0.4,22,known,0.045,0.0455,0.03675381704471326,0.05499069598122689,0.03720527135020145,0.05553732462845745,1.0,1.0
nearG_n2500_r0.98,near_boundary,gaussian,2500,2,1.5,0.98,0.01010101010101011,0.4,22,known,0.0275,0.023,0.021188498165677007,0.03562311151510701,0.017287655978080053,0.030541207128235243,1.0,1.0
nearG_n5000_r0.9,near_boundary,gaussian,5000,2,1.5,0.9,0.05263157894736841,0.4,30,known,0.0735,0.0715,0.06286270425155069,0.08577253707935806,0.0610102548427334,0.08363265467730036,1.0,1.0
nearG_n5000_r0.95,near_boundary,gaussian,5000,2,1.5,0.95,0.025641025641025664,0.4,30,known,0.038,0.0335,0.030467599928741894,0.04730375175913581,0.026465276470638475,0.042323328642770504,1.0,1.0
nearG_n5000_r0.98,near_boundary,gaussian,5000,2,1.5,0.98,0.01010101010101011,0.4,30,known,0.033,0.0335,0.026022752700289677,0.041767769460400554,0.026465276470638475,0.042323328642770504,1.0,1.0
alphaS_1.2,tail_index,stable,1000,2,1.2,0.3,0.0,0.4,15,known,0.015,0.017,0.010527098037106688,0.021332437825708653,0.012190680521843938,0.023661187151846397,1.0,1.0
alphaG_1.2,tail_index,gaussian,1000,2,1.2,0.7,0.17647058823529416,0.4,15,known,0.1175,0.1165,0.10411507285054655,0.13235146831961192,0.10316899183684573,0.13130138342787528,1.0,1.0
alphaS_1.8,tail_index,stable,1000,2,1.8,0.3,0.0,0.4,15,known,0.4805,0.4715,0.45866195647115976,0.502412808372809,0.44969811087818734,0.4934111608168439,1.0,1.0
alphaG_1.8,tail_index,gaussian,1000,2,1.8,0.7,0.17647058823529416,0.4,15,known,0.7495,0.742,0.7300439749792367,0.7679994184274181,0.7223734262506247,0.7606987228652489,1.0,1.0
near2_stable,near_alpha2,stable,2500,2,1.95,0.3,0.0,0.4,22,known,0.98,0.979,0.9728813608112625,0.9852782737987344,0.971736989530377,0.9844264791741825,1.0,1.0
near2_gaussian,near_alpha2,gaussian,2500,2,1.95,0.7,0.17647058823529416,0.4,22,known,0.999,0.999,0.9963610657309615,0.9997257210823479,0.9963610657309615,0.9997257210823479,1.0,1.0
dimS_d5,dimension,stable,2500,5,1.5,0.3,0.0,0.4,22,known,0.0,0.0005,1.0842021724855044e-19,0.001917047281252934,8.826773070546787e-05,0.0028268625032662133,1.0,1.0
dimG_d5,dimension,gaussian,2500,5,1.5,0.7,0.17647058823529416,0.4,22,known,0.0065,0.0065,0.0038025964940741515,0.011089529172522494,0.0038025964940741515,0.011089529172522494,1.0,1.0
dimS_d10,dimension,stable,2500,10,1.5,0.3,0.0,0.4,22,known,0.0005,0.0005,8.826773070546787e-05,0.0028268625032662133,8.826773070546787e-05,0.0028268625032662133,1.0,1.0
dimG_d10,dimension,gaussian,2500,10,1.5,0.7,0.17647058823529416,0.4,22,known,0.0,0.0,1.0842021724855044e-19,0.001917047281252934,1.0842021724855044e-19,0.001917047281252934,1.0,1.0
onesided_stable,one_sided,stable,2500,2,0.8,0.3,0.0,0.4,22,estimated,0.1535,0.149,0.1383674835549553,0.16996103021095296,0.13406735731337416,0.16527840987806536,1.0,1.0
onesided_gaussian,one_sided,gaussian,2500,2,0.8,0.7,0.17647058823529416,0.4,22,estimated,0.4345,0.4325,0.41292181173318704,0.456329321460657,0.4109373740877533,0.45432142729521574,1.0,1.0
