model,n,alpha,dependence,k_gamma,k,rejection_practical,rejection_oracle,wilson95_low_practical,wilson95_high_practical,wilson95_low_oracle,wilson95_high_oracle
stable,2500,1.5,0.3,0.3,10,0.013,0.0135,0.008886895534737305,0.01898030851720305,0.009294493997659236,0.019570793006999862
gaussian,2500,1.5,0.7,0.3,10,0.154,0.1525,0.13884556929651104,0.17048102742211596,0.13741148677809684,0.16892086108237392
stable,2500,1.5,0.3,0.35,15,0.0155,0.0135,0.010940972933704062,0.021916645881830028,0.009294493997659236,0.019570793006999862
gaussian,2500,1.5,0.7,0.35,15,0.203,0.2045,0.1859487736382189,0.22118995244684533,0.18739771047635959,0.22273526446686084
stable,2500,1.5,0.3,0.4,22,0.0255,0.027,0.019447915824308683,0.033371362045600345,0.020752396241488,0.035061130486577274
gaussian,2500,1.5,0.7,0.4,22,0.31,0.304,0.29011111370616144,0.3306173642607146,0.28423231272438626,0.3245191698098648
stable,2500,1.5,0.3,0.45,33,0.0665,0.0675,0.05639044543582205,0.07827163455702424,0.057313062415804306,0.07934518348247949
gaussian,2500,1.5,0.7,0.45,33,0.498,0.495,0.47611195964707875,0.5198957085420461,0.47311862851889475,0.5169005419539177
stable,2500,1.5,0.3,0.5,50,0.1705,0.1825,0.15465360526885383,0.18760972888949182,0.1661858393764371,0.20003148564715845
gaussian,2500,1.5,0.7,0.5,50,0.75,0.7435,0.7305556107841923,0.7684858655751813,0.7239069427710931,0.7621594552029367
stable,2500,1.5,0.3,0.55,73,0.3945,0.3915,0.3733021197674837,0.4161023772088606,0.3703365905912419,0.4130794086687899
gaussian,2500,1.5,0.7,0.55,73,0.931,0.9235,0.9190457750413559,0.9413017302022042,0.9110221882003662,0.9343540727524124
